"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","29","Women+","","0","units","0","","522.1.39.3","46915","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","30 to 34 years","Total - Gender","","0","units","0","","522.1.40.1","467160","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","30 to 34 years","Men+","","0","units","0","","522.1.40.2","230895","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","30 to 34 years","Women+","","0","units","0","","522.1.40.3","236265","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","30","Total - Gender","","0","units","0","","522.1.41.1","96005","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","30","Men+","","0","units","0","","522.1.41.2","47875","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","30","Women+","","0","units","0","","522.1.41.3","48130","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","31","Total - Gender","","0","units","0","","522.1.42.1","96400","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","31","Men+","","0","units","0","","522.1.42.2","47810","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","31","Women+","","0","units","0","","522.1.42.3","48595","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","32","Total - Gender","","0","units","0","","522.1.43.1","93550","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","32","Men+","","0","units","0","","522.1.43.2","46190","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","32","Women+","","0","units","0","","522.1.43.3","47360","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","33","Total - Gender","","0","units","0","","522.1.44.1","90965","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","33","Men+","","0","units","0","","522.1.44.2","44725","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","33","Women+","","0","units","0","","522.1.44.3","46245","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","34","Total - Gender","","0","units","0","","522.1.45.1","90240","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","34","Men+","","0","units","0","","522.1.45.2","44305","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","34","Women+","","0","units","0","","522.1.45.3","45935","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","35 to 39 years","Total - Gender","","0","units","0","","522.1.46.1","443940","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","35 to 39 years","Men+","","0","units","0","","522.1.46.2","214745","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","35 to 39 years","Women+","","0","units","0","","522.1.46.3","229195","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","35","Total - Gender","","0","units","0","","522.1.47.1","90460","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","35","Men+","","0","units","0","","522.1.47.2","44295","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","35","Women+","","0","units","0","","522.1.47.3","46165","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","36","Total - Gender","","0","units","0","","522.1.48.1","90345","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","36","Men+","","0","units","0","","522.1.48.2","43795","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","36","Women+","","0","units","0","","522.1.48.3","46550","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","37","Total - Gender","","0","units","0","","522.1.49.1","88590","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","37","Men+","","0","units","0","","522.1.49.2","42915","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","37","Women+","","0","units","0","","522.1.49.3","45675","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","38","Total - Gender","","0","units","0","","522.1.50.1","88375","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","38","Men+","","0","units","0","","522.1.50.2","42585","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","38","Women+","","0","units","0","","522.1.50.3","45790","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","39","Total - Gender","","0","units","0","","522.1.51.1","86170","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","39","Men+","","0","units","0","","522.1.51.2","41160","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","39","Women+","","0","units","0","","522.1.51.3","45010","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","40 to 44 years","Total - Gender","","0","units","0","","522.1.52.1","414950","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","40 to 44 years","Men+","","0","units","0","","522.1.52.2","195575","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","40 to 44 years","Women+","","0","units","0","","522.1.52.3","219375","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","40","Total - Gender","","0","units","0","","522.1.53.1","86010","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","40","Men+","","0","units","0","","522.1.53.2","40965","","","","0"
