"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Que.","2021S0503462","2021","32","Total - Gender","","0","units","0","","333.1.43.1","57630","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","32","Men+","","0","units","0","","333.1.43.2","28580","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","32","Women+","","0","units","0","","333.1.43.3","29055","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","33","Total - Gender","","0","units","0","","333.1.44.1","56110","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","33","Men+","","0","units","0","","333.1.44.2","27620","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","33","Women+","","0","units","0","","333.1.44.3","28490","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","34","Total - Gender","","0","units","0","","333.1.45.1","56685","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","34","Men+","","0","units","0","","333.1.45.2","27775","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","34","Women+","","0","units","0","","333.1.45.3","28910","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","35 to 39 years","Total - Gender","","0","units","0","","333.1.46.1","298010","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","35 to 39 years","Men+","","0","units","0","","333.1.46.2","145810","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","35 to 39 years","Women+","","0","units","0","","333.1.46.3","152195","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","35","Total - Gender","","0","units","0","","333.1.47.1","57665","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","35","Men+","","0","units","0","","333.1.47.2","28350","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","35","Women+","","0","units","0","","333.1.47.3","29315","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","36","Total - Gender","","0","units","0","","333.1.48.1","58735","","","","0"
